QFG3 Inventory and Flag number reference

Infro from the SCI Decompile Archive
https://github.com/EricOakford/SCI-Decompilation-Archive/blob/master/qfg3/src/game.sh

==========
Inventory:
==========

iRoyals 	0 ;Dinars and Commons are stored in global variables 424 and 410, respectively.
iSword		1
iFineDagger	2
iFineSpear	3
iChainmail	4
iShield		5
iGrapnel	6
iToolkit	7
iGuildCard	8  ;Unused, item data and description exist for this, but there is no corresponding icon.
iTinderbox	9
iDaggers	10
iCurePills	11
iHealPills	12
iManaPills	13
iRations	14
iWaterskin	15
iDispell	16
iFish		17
iMeat		18
iFruit		19
iBeads		20
iSkins		21
iHorn		22
iRocks		23
iVine		24
iOil		25
iRope		26
iGagGift	27
iPin		28
iHoney		29
iFeather	30
iAmulet		31  ;Unused, you can't buy from the Amulet seller, and there is no corresponding icon or description.
iLeopard	32
iBird		33
iOpal		34
iVineFruit	35
iGem		36
iPeaceWater	37
iHeartGift	38
iOrchid		39
iRobe		40
iBridge		41
iEye		42  ;Unused, the Anubis statue just has the Fire Opal item, and there is no corresponding icon.
iNote		43
iWood		44
iMagicSpear	45
MagicDrum	46


======
Flags:
======

fWornOut		1
fHungry			2
fStarving		3
fUnused4		4
fOverloaded		5
fInMainGame		6
fFlag7			7
fReversal		8
fListenedToStory	9
fFlag10			10
fGaveHorn		11
fSoulJudged		12
fGaveDrum		13
fFlag14			14
fCastingSpell		15
fAfterMatch		16
fUnused17		17
fCantEnterSimbani	18 ;this flag should be set after the peace conference, but it never is

fCantBePaladin		19
fTarnaClosed		20
fUnused21		21
fHaramiRobbedChanger	22
fRanAfterHarami		23
fTrippedHarami		24
fDaggeredHarami		25
fFlamedHarami		26
fUsedCalmOnHarami	27
fDidntCatchHarami	28
fLeopardmanCaptured	29
fHelpedYesufu		30
fFlag31			31
fMetAardvark		32
fUnused33		33
fFlag34			34
fRakeeshSworeOath	35
fHaramiWasOnTrial	36
fSawLeopardmanRitual	37
fDispelledLeopardman	38
fUnused30		39
fMetHonorlessHarami	40
fMetMoneyChanger	41
